,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA
172,2,TUS00111,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",447.42,0.0,42.86,894.84
173,1,TUE00148,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6,0.0,337.19,2174.6
174,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0,0.0,226.23,919.0
175,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,51.36,51.36,290.0
176,8,PT00057,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,98.64,98.64,3000.0
177,2,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3,1214.3,5251.0
178,8,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,0.0,325.78,4758.64
179,2,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,431.83,431.83,4556.9
180,1,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",408.87,124.0,124.0,408.87
181,1,TUA00280,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53,175.18,175.18,1136.53
182,1,RP00178,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07,12.4,12.4,862.07
183,3,BO00053,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,2525.0,0.0,1782.0,7575.0
184,2,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,36.53,36.53,675.4
185,11,TEA00092,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",1499.3,672.74,672.74,16492.26
186,6,TEA00093,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",2349.48,1190.42,1190.42,14096.87
187,4,PK14C1D1G300,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",510.0,0.0,70.04,2040.0
188,2,TT00007,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",813.05,0.0,189.75,1626.1
189,2,TT00008,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",1048.0,0.0,346.74,2096.0
190,2,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",525.0,112.61,112.61,1050.0
191,3,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,0.0,3061.83,12750.0
192,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,119.83,38.96,38.96,239.66
193,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18,227.18,813.0
194,1,TEA00096,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5,0.0,773.91,2068.5
195,6,TUA00025,"TUB ALETADA 5/16""ØX32CM 750W 220 V",1518.0,304.25,304.25,9108.0
196,5,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",597.06,173.0,173.0,2985.3
197,1,RP00175,REPARACION SELLADORA PCS300,683.25,29.9,29.9,683.25
198,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0,222.0,813.1
199,18,TUS00112,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",690.81,0.0,52.74,12434.58
200,2,TUA00403,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",1520.0,378.69,378.69,3040.0
201,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0,220.0,385.0
202,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,0.0,253.0,435.0
203,1,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",206.9,0.0,98.63,206.9
204,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0,254.34,52200.0
205,2,BE00011,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66,37.66,1560.5
206,2,BE00012,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54,44.54,1598.24
207,2,BE00013,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09,48.09,1643.78
208,2,BE00015,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09,51.09,1678.86
209,2,BN00243,"BAN INOX 12""ØX 1 1/2"" 1250W 240V C/ALLEN",901.12,141.49,141.49,1802.24
